dictionary_id,file_path,column_name,column_type,nullable,description,unit,currency_semantics,allowed_values,source_field_name,transformation_applied,foreign_key_target,notes
dd_0001,processed/award_suppliers.csv,award_supplier_id,string,false,Award supplier id. Meaning not explicitly documented in the source.,,,,award_supplier_id,See validation/transformation_log.csv where applicable.,,
dd_0002,processed/award_suppliers.csv,award_id,string,false,Canonical procurement award identifier.,,,,award_id,See validation/transformation_log.csv where applicable.,processed/procurement_awards.csv.award_id,
dd_0003,processed/award_suppliers.csv,supplier_id,string,false,Canonical supplier identifier.,,,,supplier_id,See validation/transformation_log.csv where applicable.,processed/suppliers.csv.supplier_id,
dd_0004,processed/award_suppliers.csv,supplier_role,string,false,Supplier role. Meaning not explicitly documented in the source.,,,,supplier_role,See validation/transformation_log.csv where applicable.,,
dd_0005,processed/award_suppliers.csv,awarded_value,number,true,Awarded value. Meaning not explicitly documented in the source.,USD,Do not aggregate or compare across currencies.,,awarded_value,See validation/transformation_log.csv where applicable.,,
dd_0006,processed/award_suppliers.csv,currency_code,string,true,ISO or source currency code; compare values only within the same currency.,,,,currency_code,See validation/transformation_log.csv where applicable.,,
dd_0007,processed/award_suppliers.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0008,processed/award_suppliers.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0009,processed/award_suppliers.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0010,processed/buyers.csv,buyer_id,string,false,Buyer id. Meaning not explicitly documented in the source.,,,,buyer_id,See validation/transformation_log.csv where applicable.,,
dd_0011,processed/buyers.csv,source_buyer_id,string,false,Source buyer id. Meaning not explicitly documented in the source.,,,,source_buyer_id,See validation/transformation_log.csv where applicable.,,
dd_0012,processed/buyers.csv,buyer_name,string,false,Buyer name. Meaning not explicitly documented in the source.,,,,buyer_name,See validation/transformation_log.csv where applicable.,,
dd_0013,processed/buyers.csv,normalized_name,string,false,Technical normalization of the original name; not an entity merge.,,,,normalized_name,See validation/transformation_log.csv where applicable.,,
dd_0014,processed/buyers.csv,buyer_type,string,true,Buyer type. Meaning not explicitly documented in the source.,,,,buyer_type,See validation/transformation_log.csv where applicable.,,
dd_0015,processed/buyers.csv,country_code,string,false,Country code retained or mapped from the source.,,,,country_code,See validation/transformation_log.csv where applicable.,,
dd_0016,processed/buyers.csv,country_name,string,true,Country name. Meaning not explicitly documented in the source.,,,,country_name,See validation/transformation_log.csv where applicable.,,
dd_0017,processed/buyers.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0018,processed/buyers.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0019,processed/buyers.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0020,processed/buyers.csv,collected_at,date,false,Date on which the record was collected.,,,,collected_at,See validation/transformation_log.csv where applicable.,,
dd_0021,processed/categories.csv,category_id,string,false,Canonical category identifier.,,,,category_id,See validation/transformation_log.csv where applicable.,processed/categories.csv.category_id,
dd_0022,processed/categories.csv,source_category_code,string,false,Source category code. Meaning not explicitly documented in the source.,,,,source_category_code,See validation/transformation_log.csv where applicable.,,
dd_0023,processed/categories.csv,category_system,string,false,Category system. Meaning not explicitly documented in the source.,,,,category_system,See validation/transformation_log.csv where applicable.,,
dd_0024,processed/categories.csv,category_name,string,true,Category name. Meaning not explicitly documented in the source.,,,,category_name,See validation/transformation_log.csv where applicable.,,
dd_0025,processed/categories.csv,category_description,string,true,Category description. Meaning not explicitly documented in the source.,,,,category_description,See validation/transformation_log.csv where applicable.,,
dd_0026,processed/categories.csv,parent_category_id,string,true,Parent category id. Meaning not explicitly documented in the source.,,,,parent_category_id,See validation/transformation_log.csv where applicable.,,
dd_0027,processed/categories.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0028,processed/contract_awards.csv,contract_award_id,string,false,Contract award id. Meaning not explicitly documented in the source.,,,,contract_award_id,See validation/transformation_log.csv where applicable.,,
dd_0029,processed/contract_awards.csv,contract_id,string,false,Canonical contract identifier.,,,,contract_id,See validation/transformation_log.csv where applicable.,processed/procurement_contracts.csv.contract_id,
dd_0030,processed/contract_awards.csv,award_id,string,false,Canonical procurement award identifier.,,,,award_id,See validation/transformation_log.csv where applicable.,processed/procurement_awards.csv.award_id,
dd_0031,processed/contract_awards.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0032,processed/contract_awards.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0033,processed/contract_awards.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0034,processed/contract_lots.csv,contract_lot_id,string,false,Contract lot id. Meaning not explicitly documented in the source.,,,,contract_lot_id,See validation/transformation_log.csv where applicable.,,
dd_0035,processed/contract_lots.csv,contract_id,string,false,Canonical contract identifier.,,,,contract_id,See validation/transformation_log.csv where applicable.,processed/procurement_contracts.csv.contract_id,
dd_0036,processed/contract_lots.csv,lot_id,string,false,Lot id. Meaning not explicitly documented in the source.,,,,lot_id,See validation/transformation_log.csv where applicable.,,
dd_0037,processed/contract_lots.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0038,processed/contract_lots.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0039,processed/contract_lots.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0040,processed/contract_suppliers.csv,contract_supplier_id,string,false,Contract supplier id. Meaning not explicitly documented in the source.,,,,contract_supplier_id,See validation/transformation_log.csv where applicable.,,
dd_0041,processed/contract_suppliers.csv,contract_id,string,false,Canonical contract identifier.,,,,contract_id,See validation/transformation_log.csv where applicable.,processed/procurement_contracts.csv.contract_id,
dd_0042,processed/contract_suppliers.csv,supplier_id,string,false,Canonical supplier identifier.,,,,supplier_id,See validation/transformation_log.csv where applicable.,processed/suppliers.csv.supplier_id,
dd_0043,processed/contract_suppliers.csv,supplier_role,string,false,Supplier role. Meaning not explicitly documented in the source.,,,,supplier_role,See validation/transformation_log.csv where applicable.,,
dd_0044,processed/contract_suppliers.csv,contract_share_value,number,true,Contract share value. Meaning not explicitly documented in the source.,USD,Do not aggregate or compare across currencies.,,contract_share_value,See validation/transformation_log.csv where applicable.,,
dd_0045,processed/contract_suppliers.csv,currency_code,string,true,ISO or source currency code; compare values only within the same currency.,,,,currency_code,See validation/transformation_log.csv where applicable.,,
dd_0046,processed/contract_suppliers.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0047,processed/contract_suppliers.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0048,processed/contract_suppliers.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0049,processed/notice_buyers.csv,notice_buyer_id,string,false,Notice buyer id. Meaning not explicitly documented in the source.,,,,notice_buyer_id,See validation/transformation_log.csv where applicable.,,
dd_0050,processed/notice_buyers.csv,notice_id,string,false,Notice id. Meaning not explicitly documented in the source.,,,,notice_id,See validation/transformation_log.csv where applicable.,,
dd_0051,processed/notice_buyers.csv,buyer_id,string,false,Buyer id. Meaning not explicitly documented in the source.,,,,buyer_id,See validation/transformation_log.csv where applicable.,,
dd_0052,processed/notice_buyers.csv,buyer_role,string,false,Buyer role. Meaning not explicitly documented in the source.,,,,buyer_role,See validation/transformation_log.csv where applicable.,,
dd_0053,processed/notice_buyers.csv,source_id,string,false,Identifier of the registered source.,,,,source_id,See validation/transformation_log.csv where applicable.,,
dd_0054,processed/notice_buyers.csv,source_file_id,string,false,Identifier of the registered source file.,,,,source_file_id,See validation/transformation_log.csv where applicable.,,
dd_0055,processed/notice_buyers.csv,source_record_id,string,false,Identifier or row reference in the source.,,,,source_record_id,See validation/transformation_log.csv where applicable.,,
dd_0056,processed/procurement_awards.csv,award_id,string,false,Canonical procurement award identifier.,,,,award_id,See validation/transformation_log.csv where applicable.,processed/procurement_awards.csv.award_id,
dd_0057,processed/procurement_awards.csv,source_award_id,string,false,Source award id. Meaning not explicitly documented in the source.,,,,source_award_id,See validation/transformation_log.csv where applicable.,,
dd_0058,processed/procurement_awards.csv,notice_id,string,true,Notice id. Meaning not explicitly documented in the source.,,,,notice_id,See validation/transformation_log.csv where applicable.,,
dd_0059,processed/procurement_awards.csv,procedure_id,string,true,Procedure id. Meaning not explicitly documented in the source.,,,,procedure_id,See validation/transformation_log.csv where applicable.,,
dd_0060,processed/procurement_awards.csv,lot_id,string,true,Lot id. Meaning not explicitly documented in the source.,,,,lot_id,See validation/transformation_log.csv where applicable.,,
