entity_id,file_path,primary_key,record_count,source_ids,description,limitations
award_suppliers,processed/award_suppliers.csv,award_supplier_id,1083,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
buyers,processed/buyers.csv,buyer_id,286,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
categories,processed/categories.csv,category_id,222,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
contract_awards,processed/contract_awards.csv,contract_award_id,1023,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
contract_lots,processed/contract_lots.csv,contract_lot_id,800,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
contract_suppliers,processed/contract_suppliers.csv,contract_supplier_id,1162,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
notice_buyers,processed/notice_buyers.csv,notice_buyer_id,349,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
procurement_awards,processed/procurement_awards.csv,award_id,1137,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
procurement_contracts,processed/procurement_contracts.csv,contract_id,1028,src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
procurement_lots,processed/procurement_lots.csv,lot_id,846,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
procurement_notices,processed/procurement_notices.csv,notice_id,300,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
procurement_procedures,processed/procurement_procedures.csv,procedure_id,274,src_ted_opendata,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
product_projects,processed/product_projects.csv,product_project_id,154,src_nist_supplychain,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
products,processed/products.csv,product_id,152,src_nist_supplychain,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
projects,processed/projects.csv,project_id,146,src_nist_supplychain | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
supplier_products,processed/supplier_products.csv,supplier_product_id,186,src_nist_supplychain,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
supplier_projects,processed/supplier_projects.csv,supplier_project_id,300,src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
suppliers,processed/suppliers.csv,supplier_id,879,src_nist_supplychain | src_ted_opendata | src_worldbank_finances1,Canonical structured entity for SupplyIQ retrieval.,See data_dictionary.csv and validation reports for field-level limitations.
