source_file_id,source_id,original_file_name,stored_file_path,file_format,mime_type,file_size_bytes,sha256,downloaded_at,record_count,column_count,encoding,delimiter,license_status
file_nist_001,src_nist_supplychain,products.csv,raw/nist/SampleDataSets/01 Basic Sample Data Set Small/products.csv,csv,text/csv,205,7ffb65d5bedd261eadfb4664d71d1e23868a8b8087bdb6a55d6f30788c68743e,2026-08-19,9,4,utf-8,comma,open
file_nist_002,src_nist_supplychain,projects.csv,raw/nist/SampleDataSets/01 Basic Sample Data Set Small/projects.csv,csv,text/csv,58,ba92fd52059114fbd987100650abdc92c8d694e16ccb0bb5438620ab959a892d,2026-08-19,1,3,utf-8,comma,open
file_nist_003,src_nist_supplychain,suppliers.csv,raw/nist/SampleDataSets/01 Basic Sample Data Set Small/suppliers.csv,csv,text/csv,80,7a98e4e23ae33f06a12d1bcc7be49e0dfd549cb8b7c7cdb5c93b7a541be1c7cf,2026-08-19,4,2,utf-8,comma,open
file_nist_004,src_nist_supplychain,products.csv,raw/nist/SampleDataSets/02 Interconnected Sample Data Set Small/products.csv,csv,text/csv,175,067cfa8cb15a5449e3048254c75edd11960dcf15548bb7f361f07cdcd6219aff,2026-08-19,7,4,utf-8,comma,open
file_nist_005,src_nist_supplychain,projects.csv,raw/nist/SampleDataSets/02 Interconnected Sample Data Set Small/projects.csv,csv,text/csv,120,901987db2a95292f7b205029c355a5c286eb57d4ffd3a7f81357cfe3c5ab2f15,2026-08-19,4,3,utf-8,comma,open
file_nist_006,src_nist_supplychain,suppliers.csv,raw/nist/SampleDataSets/02 Interconnected Sample Data Set Small/suppliers.csv,csv,text/csv,122,8bec1efed969c5ded5768e7d2c53fa8bacdb5dab3a6e4dddde971d8cfbd753f1,2026-08-19,7,2,utf-8,comma,open
file_nist_007,src_nist_supplychain,GPS_products.csv,raw/nist/SampleDataSets/GPS Manufacturer/GPS_products.csv,csv,text/csv,17589,73b8a766ef92196254a5ac743596fb368a57c03e251110369dcbd39ea3dacbd4,2026-08-19,55,24,unknown-8bit,comma,open
file_nist_008,src_nist_supplychain,GPS_projects.csv,raw/nist/SampleDataSets/GPS Manufacturer/GPS_projects.csv,csv,text/csv,72,281160a4f671b1f013d67ca60b2cd4f6c8fe57bdf926ea913a208e52646bdc1e,2026-08-19,3,3,utf-8,comma,open
file_nist_009,src_nist_supplychain,GPS_suppliers.csv,raw/nist/SampleDataSets/GPS Manufacturer/GPS_suppliers.csv,csv,text/csv,1510,c55b6f74219816812520676b8ae2a0c10eda85afec1fe03a610b629db43ba24f,2026-08-19,29,10,us-ascii,comma,open
file_nist_010,src_nist_supplychain,medical_products.csv,raw/nist/SampleDataSets/Medical Software/medical_products.csv,csv,text/csv,2328,5a8c7544d47d8caa817f39f10c0aa18b53492f1def8310a16ef4257a7910d062,2026-08-19,30,7,utf-8,comma,open
file_nist_011,src_nist_supplychain,medical_projects.csv,raw/nist/SampleDataSets/Medical Software/medical_projects.csv,csv,text/csv,163,2b273655ff7f7a2a59aa38a845fd17e1300077811bde7314e2666ebc3e981d68,2026-08-19,5,3,utf-8,comma,open
file_nist_012,src_nist_supplychain,medical_suppliers.csv,raw/nist/SampleDataSets/Medical Software/medical_suppliers.csv,csv,text/csv,1552,8aeb3677bfb60259c0a1c9f0930807737ebb6f554fbbfe161589253e33f996ef,2026-08-19,9,10,utf-8,comma,open
file_nist_013,src_nist_supplychain,SGE_products.csv,raw/nist/SampleDataSets/Small Government Entity/SGE_products.csv,csv,text/csv,3719,10f41c9b213a9984e299a246a15be056491cd12ef9780087d242dc251c0b046d,2026-08-19,49,7,us-ascii,comma,open
