award_supplier_id,award_id,supplier_id,supplier_role,awarded_value,currency_code,source_id,source_file_id,source_record_id
asu_00001,awd_00001,sup_0107,winner,,,src_ted_opendata,file_ted_0001,lot_result:RES-0001/organisation:ORG-0004
asu_00002,awd_00002,sup_0107,winner,,,src_ted_opendata,file_ted_0001,lot_result:RES-0002/organisation:ORG-0004
asu_00003,awd_00003,sup_0107,winner,,,src_ted_opendata,file_ted_0001,lot_result:RES-0003/organisation:ORG-0004
asu_00004,awd_00004,sup_0107,winner,,,src_ted_opendata,file_ted_0001,lot_result:RES-0004/organisation:ORG-0004
asu_00005,awd_00005,sup_0107,winner,,,src_ted_opendata,file_ted_0001,lot_result:RES-0005/organisation:ORG-0004
asu_00006,awd_00006,sup_0108,winner,899130,PLN,src_ted_opendata,file_ted_0002,lot_result:RES-0001/organisation:ORG-0003
asu_00007,awd_00007,sup_0109,winner,40497.8600,EUR,src_ted_opendata,file_ted_0003,lot_result:RES-0000/organisation:ORG-0004
asu_00008,awd_00009,sup_0110,winner,3545730,PLN,src_ted_opendata,file_ted_0005,lot_result:RES-0001/organisation:ORG-0005
asu_00009,awd_00010,sup_0111,winner,,,src_ted_opendata,file_ted_0006,lot_result:RES-0001/organisation:ORG-0003
asu_00010,awd_00011,sup_0112,winner,3309693.48,PLN,src_ted_opendata,file_ted_0007,lot_result:RES-0001/organisation:ORG-0003
asu_00011,awd_00011,sup_0113,winner,3309693.48,PLN,src_ted_opendata,file_ted_0007,lot_result:RES-0001/organisation:ORG-0004
asu_00012,awd_00012,sup_0114,winner,3583334,EUR,src_ted_opendata,file_ted_0008,lot_result:RES-0001/organisation:ORG-0006
asu_00013,awd_00013,sup_0115,winner,2419500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0001/organisation:ORG-9002
asu_00014,awd_00014,sup_0115,winner,240000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0010/organisation:ORG-9002
asu_00015,awd_00015,sup_0115,winner,881000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0008/organisation:ORG-9002
asu_00016,awd_00016,sup_0115,winner,2344500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0003/organisation:ORG-9002
asu_00017,awd_00017,sup_0115,winner,864500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0007/organisation:ORG-9002
asu_00018,awd_00018,sup_0115,winner,3452800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0012/organisation:ORG-9002
asu_00019,awd_00019,sup_0115,winner,212000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0014/organisation:ORG-9002
