buyer_id,source_buyer_id,buyer_name,normalized_name,buyer_type,country_code,country_name,source_id,source_file_id,source_record_id,collected_at
buy_0001,afe16e09-4fc4-4c82-afda-2861bc0ae8ed,HafenCity Hamburg GmbH,hafencity hamburg gmbh,pub-undert,DEU,,src_ted_opendata,file_ted_0001,organisation:ORG-0001,2026-08-19
buy_0002,7752406978,Gmina Witonia,gmina witonia,la,POL,,src_ted_opendata,file_ted_0002,organisation:ORG-0001,2026-08-19
buy_0003,5229839000,"ELEKTRO PRIMORSKA podjetje za distribucijo električne energije, d.d.","elektro primorska podjetje za distribucijo električne energije, d.d.",,SVN,,src_ted_opendata,file_ted_0003,organisation:ORG-0001,2026-08-19
buy_0004,7282246128,Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Uniwersytetu Medycznego w Łodzi,samodzielny publiczny zakład opieki zdrowotnej centralny szpital kliniczny uniwersytetu medycznego w łodzi,la,POL,,src_ted_opendata,file_ted_0004,organisation:ORG-0001,2026-08-19
buy_0005,118417683,Szpital Bielański im. ks. Jerzego Popiełuszki Samodzielny Publiczny Zakład Opieki Zdrowotnej,szpital bielański im. ks. jerzego popiełuszki samodzielny publiczny zakład opieki zdrowotnej,body-pl,POL,,src_ted_opendata,file_ted_0005,organisation:ORG-0001,2026-08-19
buy_0006,0245869-9,The Radiation and Nuclear Safety Authority,the radiation and nuclear safety authority,cga,FIN,,src_ted_opendata,file_ted_0006,organisation:ORG-0002,2026-08-19
buy_0007,6471704471,Gmina Lubomia,gmina lubomia,la,POL,,src_ted_opendata,file_ted_0007,organisation:ORG-0001,2026-08-19
buy_0008,57322,"SEMITAN, mandataire de Nantes Métropole","semitan, mandataire de nantes métropole",,FRA,,src_ted_opendata,file_ted_0008,organisation:ORG-0002,2026-08-19
buy_0009,4288063,SPITALUL CLINIC DE RECUPERARE CLUJ-NAPOCA,spitalul clinic de recuperare cluj-napoca,body-pl-la,ROU,,src_ted_opendata,file_ted_0009,organisation:ORG-0004,2026-08-19
buy_0010,NIP: 8212406047,Gmina Wiśniew,gmina wiśniew,la,POL,,src_ted_opendata,file_ted_0010,organisation:ORG-0001,2026-08-19
buy_0011,30263544,Staatsbosbeheer,staatsbosbeheer,body-pl,NLD,,src_ted_opendata,file_ted_0011,organisation:ORG-0001,2026-08-19
buy_0012,REGON 122462192,Babiogórski Park Narodowy z siedzibą w Zawoi,babiogórski park narodowy z siedzibą w zawoi,body-pl,POL,,src_ted_opendata,file_ted_0012,organisation:ORG-0001,2026-08-19
buy_0013,221964385,COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,copernicus podmiot leczniczy spółka z ograniczoną odpowiedzialnością,body-pl,POL,,src_ted_opendata,file_ted_0013,organisation:ORG-0001,2026-08-19
buy_0014,90004585,Sihtasutus Viljandi Haigla,sihtasutus viljandi haigla,body-pl,EST,,src_ted_opendata,file_ted_0014,organisation:ORG-0001,2026-08-19
buy_0015,1990080635,Krapkowickie Centrum Zdrowia Sp. z o.o.,krapkowickie centrum zdrowia sp. z o.o.,body-pl,POL,,src_ted_opendata,file_ted_0015,organisation:ORG-0001,2026-08-19
buy_0016,95054920632,"Ministero delle Infrastrutture e dei Trasporti Provveditorato Interregionale per le Opere Pubbliche per la Campania, il Molise, la Puglia e la Basilicata - sede di Napoli","ministero delle infrastrutture e dei trasporti provveditorato interregionale per le opere pubbliche per la campania, il molise, la puglia e la basilicata - sede di napoli",cga,ITA,,src_ted_opendata,file_ted_0016,organisation:ORG-0001,2026-08-19
buy_0017,5144353000,"LUKA KOPER, pristaniški in logistični sistem, delniška družba","luka koper, pristaniški in logistični sistem, delniška družba",spec-rights-entity,SVN,,src_ted_opendata,file_ted_0017,organisation:ORG-0001,2026-08-19
buy_0018,368302575,Państwowe Gospodarstwo Wodne Wody Polskie,państwowe gospodarstwo wodne wody polskie,body-pl,POL,,src_ted_opendata,file_ted_0018,organisation:ORG-0001,2026-08-19
buy_0019,NIP 771-17-33-841,GMINA GRABICA,gmina grabica,body-pl,POL,,src_ted_opendata,file_ted_0019,organisation:ORG-0001,2026-08-19
buy_0020,6272748738,Gmina Świętochłowice,gmina świętochłowice,la,POL,,src_ted_opendata,file_ted_0020,organisation:ORG-0001,2026-08-19
buy_0021,55954,LOGELIA CHARENTE,logelia charente,body-pl,FRA,,src_ted_opendata,file_ted_0023,organisation:ORG-0002,2026-08-19
buy_0022,4540895,SPITALUL CLINIC DR. C. I. PARHON,spitalul clinic dr. c. i. parhon,body-pl-la,ROU,,src_ted_opendata,file_ted_0024,organisation:ORG-0004,2026-08-19
buy_0023,20006956500089,CC Lacs et Montagnes du Haut-Doubs,cc lacs et montagnes du haut-doubs,body-pl,FRA,,src_ted_opendata,file_ted_0025,organisation:ORG-0001,2026-08-19
buy_0024,100.Ε00961.001,Γενικό Νοσοκομείο Γρεβενών,γενικό νοσοκομείο γρεβενών,body-pl,GRC,,src_ted_opendata,file_ted_0026,organisation:ORG-0005,2026-08-19
buy_0025,170747951,Gmina Sztutowo,gmina sztutowo,la,POL,,src_ted_opendata,file_ted_0027,organisation:ORG-0001,2026-08-19
buy_0026,8961004279,Miejskie Przedsiębiorstwo Komunikacyjne Sp. z o.o. we Wrocławiu,miejskie przedsiębiorstwo komunikacyjne sp. z o.o. we wrocławiu,body-pl,POL,,src_ted_opendata,file_ted_0028,organisation:ORG-0001,2026-08-19
buy_0027,21060123300302,Ville de Saint Laurent du Var (06),ville de saint laurent du var (06),la,FRA,,src_ted_opendata,file_ted_0029,organisation:ORG-0001,2026-08-19
buy_0028,NIP: 8952232791,SIM Wrocław Sp. z o.o.,sim wrocław sp. z o.o.,body-pl,POL,,src_ted_opendata,file_ted_0030,organisation:ORG-0001,2026-08-19
buy_0029,11367810180541,"Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones","junta de contratación del ministerio de inclusión, seguridad social y migraciones",cga,ESP,,src_ted_opendata,file_ted_0031,organisation:ORG-0001,2026-08-19
buy_0030,44415,Syndicat Mixte du Lac d'Annecy,syndicat mixte du lac d'annecy,body-pl,FRA,,src_ted_opendata,file_ted_0032,organisation:ORG-0002,2026-08-19
