category_id,source_category_code,category_system,category_name,category_description,parent_category_id,source_id
cat_0001,71250000,CPV,,,,src_ted_opendata
cat_0002,31520000,CPV,,,,src_ted_opendata
cat_0003,45000000,CPV,,,,src_ted_opendata
cat_0004,45200000,CPV,,,,src_ted_opendata
cat_0005,50000000,CPV,,,,src_ted_opendata
cat_0006,48329000,CPV,,,,src_ted_opendata
cat_0007,09344000,CPV,,,,src_ted_opendata
cat_0008,90500000,CPV,,,,src_ted_opendata
cat_0009,45111200,CPV,,,,src_ted_opendata
cat_0010,33183200,CPV,,,,src_ted_opendata
cat_0011,33183300,CPV,,,,src_ted_opendata
cat_0012,33697110,CPV,,,,src_ted_opendata
cat_0013,66113000,CPV,,,,src_ted_opendata
cat_0014,79620000,CPV,,,,src_ted_opendata
cat_0015,71541000,CPV,,,,src_ted_opendata
cat_0016,33100000,CPV,,,,src_ted_opendata
cat_0017,39222000,CPV,,,,src_ted_opendata
cat_0018,33600000,CPV,,,,src_ted_opendata
cat_0019,65130000,CPV,,,,src_ted_opendata
cat_0020,51700000,CPV,,,,src_ted_opendata
cat_0021,90721800,CPV,,,,src_ted_opendata
cat_0022,90511000,CPV,,,,src_ted_opendata
cat_0023,77310000,CPV,,,,src_ted_opendata
cat_0024,50513000,CPV,,,,src_ted_opendata
cat_0025,90511200,CPV,,,,src_ted_opendata
cat_0026,33141620,CPV,,,,src_ted_opendata
cat_0027,90512000,CPV,,,,src_ted_opendata
cat_0028,66510000,CPV,,,,src_ted_opendata
cat_0029,55521200,CPV,,,,src_ted_opendata
cat_0030,71320000,CPV,,,,src_ted_opendata
cat_0031,90911200,CPV,,,,src_ted_opendata
cat_0032,33651100,CPV,,,,src_ted_opendata
cat_0033,31000000,CPV,,,,src_ted_opendata
cat_0034,50232100,CPV,,,,src_ted_opendata
cat_0035,45232410,CPV,,,,src_ted_opendata
cat_0036,45120000,CPV,,,,src_ted_opendata
cat_0037,09310000,CPV,,,,src_ted_opendata
cat_0038,66100000,CPV,,,,src_ted_opendata
cat_0039,66110000,CPV,,,,src_ted_opendata
cat_0040,35200000,CPV,,,,src_ted_opendata
cat_0041,18100000,CPV,,,,src_ted_opendata
cat_0042,18800000,CPV,,,,src_ted_opendata
cat_0043,15000000,CPV,,,,src_ted_opendata
cat_0044,33172100,CPV,,,,src_ted_opendata
cat_0045,32570000,CPV,,,,src_ted_opendata
cat_0046,33172200,CPV,,,,src_ted_opendata
cat_0047,66512100,CPV,,,,src_ted_opendata
cat_0048,48180000,CPV,,,,src_ted_opendata
cat_0049,72200000,CPV,,,,src_ted_opendata
cat_0050,37500000,CPV,,,,src_ted_opendata
cat_0051,98393000,CPV,,,,src_ted_opendata
cat_0052,90000000,CPV,,,,src_ted_opendata
cat_0053,71354300,CPV,,,,src_ted_opendata
cat_0054,33192000,CPV,,,,src_ted_opendata
cat_0055,15331400,CPV,,,,src_ted_opendata
cat_0056,79212000,CPV,,,,src_ted_opendata
cat_0057,15810000,CPV,,,,src_ted_opendata
cat_0058,15300000,CPV,,,,src_ted_opendata
cat_0059,15313000,CPV,,,,src_ted_opendata
cat_0060,15800000,CPV,,,,src_ted_opendata
cat_0061,50411000,CPV,,,,src_ted_opendata
cat_0062,90910000,CPV,,,,src_ted_opendata
cat_0063,85121000,CPV,,,,src_ted_opendata
cat_0064,85111200,CPV,,,,src_ted_opendata
cat_0065,64110000,CPV,,,,src_ted_opendata
cat_0066,90400000,CPV,,,,src_ted_opendata
cat_0067,48219300,CPV,,,,src_ted_opendata
cat_0068,79800000,CPV,,,,src_ted_opendata
cat_0069,15500000,CPV,,,,src_ted_opendata
cat_0070,71356100,CPV,,,,src_ted_opendata
cat_0071,15811000,CPV,,,,src_ted_opendata
cat_0072,73200000,CPV,,,,src_ted_opendata
cat_0073,63712710,CPV,,,,src_ted_opendata
cat_0074,33141000,CPV,,,,src_ted_opendata
cat_0075,45343200,CPV,,,,src_ted_opendata
cat_0076,75131000,CPV,,,,src_ted_opendata
cat_0077,37524900,CPV,,,,src_ted_opendata
cat_0078,79416000,CPV,,,,src_ted_opendata
cat_0079,39000000,CPV,,,,src_ted_opendata
cat_0080,42000000,CPV,,,,src_ted_opendata
cat_0081,66514110,CPV,,,,src_ted_opendata
cat_0082,15112000,CPV,,,,src_ted_opendata
cat_0083,34631000,CPV,,,,src_ted_opendata
cat_0084,50343000,CPV,,,,src_ted_opendata
cat_0085,33000000,CPV,,,,src_ted_opendata
cat_0086,71631300,CPV,,,,src_ted_opendata
cat_0087,60112000,CPV,,,,src_ted_opendata
cat_0088,33696500,CPV,,,,src_ted_opendata
cat_0089,71241000,CPV,,,,src_ted_opendata
cat_0090,71242000,CPV,,,,src_ted_opendata
cat_0091,30163100,CPV,,,,src_ted_opendata
cat_0092,45212410,CPV,,,,src_ted_opendata
cat_0093,50700000,CPV,,,,src_ted_opendata
cat_0094,48100000,CPV,,,,src_ted_opendata
cat_0095,50413200,CPV,,,,src_ted_opendata
cat_0096,71313000,CPV,,,,src_ted_opendata
cat_0097,35412400,CPV,,,,src_ted_opendata
cat_0098,15894300,CPV,,,,src_ted_opendata
cat_0099,71315410,CPV,,,,src_ted_opendata
cat_0100,33140000,CPV,,,,src_ted_opendata
cat_0101,33162000,CPV,,,,src_ted_opendata
cat_0102,85100000,CPV,,,,src_ted_opendata
cat_0103,85110000,CPV,,,,src_ted_opendata
cat_0104,34928480,CPV,,,,src_ted_opendata
cat_0105,31300000,CPV,,,,src_ted_opendata
cat_0106,85320000,CPV,,,,src_ted_opendata
cat_0107,79340000,CPV,,,,src_ted_opendata
cat_0108,33182300,CPV,,,,src_ted_opendata
cat_0109,66515000,CPV,,,,src_ted_opendata
cat_0110,66516000,CPV,,,,src_ted_opendata
cat_0111,66513000,CPV,,,,src_ted_opendata
cat_0112,66512000,CPV,,,,src_ted_opendata
cat_0113,71631100,CPV,,,,src_ted_opendata
cat_0114,90533000,CPV,,,,src_ted_opendata
cat_0115,79210000,CPV,,,,src_ted_opendata
cat_0116,32580000,CPV,,,,src_ted_opendata
cat_0117,30236000,CPV,,,,src_ted_opendata
cat_0118,35113410,CPV,,,,src_ted_opendata
cat_0119,42514300,CPV,,,,src_ted_opendata
cat_0120,35113200,CPV,,,,src_ted_opendata
cat_0121,15961000,CPV,,,,src_ted_opendata
cat_0122,15930000,CPV,,,,src_ted_opendata
cat_0123,15894200,CPV,,,,src_ted_opendata
cat_0124,09331200,CPV,,,,src_ted_opendata
cat_0125,90510000,CPV,,,,src_ted_opendata
cat_0126,79311000,CPV,,,,src_ted_opendata
cat_0127,50110000,CPV,,,,src_ted_opendata
cat_0128,33696000,CPV,,,,src_ted_opendata
cat_0129,34114200,CPV,,,,src_ted_opendata
cat_0130,50232000,CPV,,,,src_ted_opendata
cat_0131,50230000,CPV,,,,src_ted_opendata
cat_0132,72230000,CPV,,,,src_ted_opendata
cat_0133,90919200,CPV,,,,src_ted_opendata
cat_0134,33190000,CPV,,,,src_ted_opendata
cat_0135,90524400,CPV,,,,src_ted_opendata
cat_0136,72540000,CPV,,,,src_ted_opendata
cat_0137,33124120,CPV,,,,src_ted_opendata
cat_0138,72262000,CPV,,,,src_ted_opendata
cat_0139,45236230,CPV,,,,src_ted_opendata
cat_0140,64200000,CPV,,,,src_ted_opendata
cat_0141,15110000,CPV,,,,src_ted_opendata
cat_0142,39313000,CPV,,,,src_ted_opendata
cat_0143,45252124,CPV,,,,src_ted_opendata
cat_0144,71315210,CPV,,,,src_ted_opendata
cat_0145,71200000,CPV,,,,src_ted_opendata
cat_0146,71000000,CPV,,,,src_ted_opendata
cat_0147,45220000,CPV,,,,src_ted_opendata
cat_0148,34144211,CPV,,,,src_ted_opendata
cat_0149,48814000,CPV,,,,src_ted_opendata
cat_0150,90620000,CPV,,,,src_ted_opendata
cat_0151,45311000,CPV,,,,src_ted_opendata
cat_0152,33184100,CPV,,,,src_ted_opendata
cat_0153,71600000,CPV,,,,src_ted_opendata
cat_0154,09132000,CPV,,,,src_ted_opendata
cat_0155,33154000,CPV,,,,src_ted_opendata
cat_0156,71335000,CPV,,,,src_ted_opendata
cat_0157,33195000,CPV,,,,src_ted_opendata
cat_0158,66516400,CPV,,,,src_ted_opendata
cat_0159,66513100,CPV,,,,src_ted_opendata
cat_0160,71351914,CPV,,,,src_ted_opendata
cat_0161,90911000,CPV,,,,src_ted_opendata
cat_0162,50400000,CPV,,,,src_ted_opendata
cat_0163,33182000,CPV,,,,src_ted_opendata
cat_0164,60100000,CPV,,,,src_ted_opendata
cat_0165,34139100,CPV,,,,src_ted_opendata
cat_0166,66000000,CPV,,,,src_ted_opendata
cat_0167,90513000,CPV,,,,src_ted_opendata
cat_0168,50324200,CPV,,,,src_ted_opendata
cat_0169,50711000,CPV,,,,src_ted_opendata
cat_0170,03320000,CPV,,,,src_ted_opendata
cat_0171,64216000,CPV,,,,src_ted_opendata
cat_0172,48624000,CPV,,,,src_ted_opendata
cat_0173,09135100,CPV,,,,src_ted_opendata
cat_0174,09134100,CPV,,,,src_ted_opendata
cat_0175,15896000,CPV,,,,src_ted_opendata
cat_0176,34144900,CPV,,,,src_ted_opendata
cat_0177,34100000,CPV,,,,src_ted_opendata
cat_0178,19100000,CPV,,,,src_ted_opendata
cat_0179,33141110,CPV,,,,src_ted_opendata
cat_0180,22459000,CPV,,,,src_ted_opendata
cat_0181,45311200,CPV,,,,src_ted_opendata
cat_0182,38582000,CPV,,,,src_ted_opendata
cat_0183,60172000,CPV,,,,src_ted_opendata
cat_0184,90610000,CPV,,,,src_ted_opendata
cat_0185,39715000,CPV,,,,src_ted_opendata
cat_0186,32422000,CPV,,,,src_ted_opendata
cat_0187,45234124,CPV,,,,src_ted_opendata
cat_0188,79970000,CPV,,,,src_ted_opendata
cat_0189,03452000,CPV,,,,src_ted_opendata
cat_0190,90480000,CPV,,,,src_ted_opendata
cat_0191,50530000,CPV,,,,src_ted_opendata
cat_0192,48000000,CPV,,,,src_ted_opendata
cat_0193,33652000,CPV,,,,src_ted_opendata
cat_0194,71318000,CPV,,,,src_ted_opendata
cat_0195,79710000,CPV,,,,src_ted_opendata
cat_0196,79700000,CPV,,,,src_ted_opendata
cat_0197,71322000,CPV,,,,src_ted_opendata
