contract_lot_id,contract_id,lot_id,source_id,source_file_id,source_record_id
clo_00001,con_00001,lot_00004,src_ted_opendata,file_ted_0001,contract:CON-0001/lot:LOT-0004
clo_00002,con_00002,lot_00001,src_ted_opendata,file_ted_0001,contract:CON-0002/lot:LOT-0001
clo_00003,con_00002,lot_00002,src_ted_opendata,file_ted_0001,contract:CON-0002/lot:LOT-0002
clo_00004,con_00002,lot_00003,src_ted_opendata,file_ted_0001,contract:CON-0002/lot:LOT-0003
clo_00005,con_00002,lot_00005,src_ted_opendata,file_ted_0001,contract:CON-0002/lot:LOT-0005
clo_00006,con_00003,lot_00006,src_ted_opendata,file_ted_0002,contract:CON-0001/lot:LOT-0001
clo_00007,con_00004,lot_00007,src_ted_opendata,file_ted_0003,contract:CON-0000/lot:LOT-0000
clo_00008,con_00005,lot_00009,src_ted_opendata,file_ted_0005,contract:CON-0001/lot:LOT-0001
clo_00009,con_00006,lot_00010,src_ted_opendata,file_ted_0006,contract:CON-0001/lot:LOT-0000
clo_00010,con_00007,lot_00011,src_ted_opendata,file_ted_0007,contract:CON-0001/lot:LOT-0001
clo_00011,con_00008,lot_00012,src_ted_opendata,file_ted_0008,contract:CON-0001/lot:LOT-0000
clo_00012,con_00009,lot_00013,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0001
clo_00013,con_00009,lot_00022,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0010
clo_00014,con_00009,lot_00020,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0008
clo_00015,con_00009,lot_00015,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0003
clo_00016,con_00009,lot_00019,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0007
clo_00017,con_00009,lot_00024,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0012
clo_00018,con_00009,lot_00026,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0014
clo_00019,con_00009,lot_00025,src_ted_opendata,file_ted_0009,contract:CON-0001/lot:LOT-0013
clo_00020,con_00010,lot_00021,src_ted_opendata,file_ted_0009,contract:CON-0002/lot:LOT-0009
clo_00021,con_00010,lot_00014,src_ted_opendata,file_ted_0009,contract:CON-0002/lot:LOT-0002
clo_00022,con_00010,lot_00027,src_ted_opendata,file_ted_0009,contract:CON-0002/lot:LOT-0015
clo_00023,con_00010,lot_00023,src_ted_opendata,file_ted_0009,contract:CON-0002/lot:LOT-0011
clo_00024,con_00010,lot_00016,src_ted_opendata,file_ted_0009,contract:CON-0002/lot:LOT-0004
clo_00025,con_00011,lot_00030,src_ted_opendata,file_ted_0009,contract:CON-0003/lot:LOT-0018
clo_00026,con_00011,lot_00017,src_ted_opendata,file_ted_0009,contract:CON-0003/lot:LOT-0005
clo_00027,con_00012,lot_00018,src_ted_opendata,file_ted_0009,contract:CON-0004/lot:LOT-0006
clo_00028,con_00012,lot_00029,src_ted_opendata,file_ted_0009,contract:CON-0004/lot:LOT-0017
