contract_supplier_id,contract_id,supplier_id,supplier_role,contract_share_value,currency_code,source_id,source_file_id,source_record_id
csu_00001,con_00001,sup_0107,contractor,,,src_ted_opendata,file_ted_0001,contract:CON-0001/organisation:ORG-0004
csu_00002,con_00002,sup_0107,contractor,,,src_ted_opendata,file_ted_0001,contract:CON-0002/organisation:ORG-0004
csu_00003,con_00003,sup_0108,contractor,,,src_ted_opendata,file_ted_0002,contract:CON-0001/organisation:ORG-0003
csu_00004,con_00004,sup_0109,contractor,,,src_ted_opendata,file_ted_0003,contract:CON-0000/organisation:ORG-0004
csu_00005,con_00005,sup_0110,contractor,,,src_ted_opendata,file_ted_0005,contract:CON-0001/organisation:ORG-0005
csu_00006,con_00006,sup_0111,contractor,,,src_ted_opendata,file_ted_0006,contract:CON-0001/organisation:ORG-0003
csu_00007,con_00007,sup_0112,contractor,,,src_ted_opendata,file_ted_0007,contract:CON-0001/organisation:ORG-0003
csu_00008,con_00007,sup_0113,contractor,,,src_ted_opendata,file_ted_0007,contract:CON-0001/organisation:ORG-0004
csu_00009,con_00008,sup_0114,contractor,,,src_ted_opendata,file_ted_0008,contract:CON-0001/organisation:ORG-0006
csu_00010,con_00009,sup_0115,contractor,,,src_ted_opendata,file_ted_0009,contract:CON-0001/organisation:ORG-9002
csu_00011,con_00010,sup_0116,contractor,,,src_ted_opendata,file_ted_0009,contract:CON-0002/organisation:ORG-9000
csu_00012,con_00011,sup_0117,contractor,,,src_ted_opendata,file_ted_0009,contract:CON-0003/organisation:ORG-9001
csu_00013,con_00012,sup_0118,contractor,,,src_ted_opendata,file_ted_0009,contract:CON-0004/organisation:ORG-9003
csu_00014,con_00013,sup_0119,contractor,,,src_ted_opendata,file_ted_0010,contract:CON-0001/organisation:ORG-0003
csu_00015,con_00014,sup_0120,contractor,,,src_ted_opendata,file_ted_0012,contract:CON-0001/organisation:ORG-0004
csu_00016,con_00015,sup_0121,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0001/organisation:ORG-0004
csu_00017,con_00016,sup_0121,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0002/organisation:ORG-0004
csu_00018,con_00017,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0003/organisation:ORG-0003
csu_00019,con_00018,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0004/organisation:ORG-0003
csu_00020,con_00019,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0005/organisation:ORG-0003
csu_00021,con_00020,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0006/organisation:ORG-0003
csu_00022,con_00021,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0007/organisation:ORG-0003
csu_00023,con_00022,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0008/organisation:ORG-0003
csu_00024,con_00023,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0009/organisation:ORG-0003
csu_00025,con_00024,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0010/organisation:ORG-0003
csu_00026,con_00025,sup_0121,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0011/organisation:ORG-0004
csu_00027,con_00026,sup_0121,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0012/organisation:ORG-0004
csu_00028,con_00027,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0013/organisation:ORG-0003
csu_00029,con_00028,sup_0122,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0014/organisation:ORG-0003
csu_00030,con_00029,sup_0121,contractor,,,src_ted_opendata,file_ted_0013,contract:CON-0015/organisation:ORG-0004
