notice_buyer_id,notice_id,buyer_id,buyer_role,source_id,source_file_id,source_record_id
nbu_00001,not_0001,buy_0001,buyer,src_ted_opendata,file_ted_0001,notice:4-2025/organisation:ORG-0001
nbu_00002,not_0002,buy_0002,buyer,src_ted_opendata,file_ted_0002,notice:5-2025/organisation:ORG-0001
nbu_00003,not_0003,buy_0003,buyer,src_ted_opendata,file_ted_0003,notice:6-2025/organisation:ORG-0001
nbu_00004,not_0004,buy_0004,buyer,src_ted_opendata,file_ted_0004,notice:7-2025/organisation:ORG-0001
nbu_00005,not_0005,buy_0005,buyer,src_ted_opendata,file_ted_0005,notice:11-2025/organisation:ORG-0001
nbu_00006,not_0006,buy_0006,buyer,src_ted_opendata,file_ted_0006,notice:12-2025/organisation:ORG-0002
nbu_00007,not_0007,buy_0007,buyer,src_ted_opendata,file_ted_0007,notice:13-2025/organisation:ORG-0001
nbu_00008,not_0008,buy_0008,buyer,src_ted_opendata,file_ted_0008,notice:17-2025/organisation:ORG-0002
nbu_00009,not_0009,buy_0009,buyer,src_ted_opendata,file_ted_0009,notice:18-2025/organisation:ORG-0004
nbu_00010,not_0010,buy_0010,buyer,src_ted_opendata,file_ted_0010,notice:19-2025/organisation:ORG-0001
nbu_00011,not_0011,buy_0011,buyer,src_ted_opendata,file_ted_0011,notice:22-2025/organisation:ORG-0001
nbu_00012,not_0012,buy_0012,buyer,src_ted_opendata,file_ted_0012,notice:23-2025/organisation:ORG-0001
nbu_00013,not_0013,buy_0013,buyer,src_ted_opendata,file_ted_0013,notice:24-2025/organisation:ORG-0001
nbu_00014,not_0014,buy_0014,buyer,src_ted_opendata,file_ted_0014,notice:25-2025/organisation:ORG-0001
nbu_00015,not_0015,buy_0015,buyer,src_ted_opendata,file_ted_0015,notice:27-2025/organisation:ORG-0001
nbu_00016,not_0016,buy_0016,buyer,src_ted_opendata,file_ted_0016,notice:28-2025/organisation:ORG-0001
nbu_00017,not_0017,buy_0017,buyer,src_ted_opendata,file_ted_0017,notice:30-2025/organisation:ORG-0001
nbu_00018,not_0018,buy_0018,buyer,src_ted_opendata,file_ted_0018,notice:31-2025/organisation:ORG-0001
nbu_00019,not_0019,buy_0019,buyer,src_ted_opendata,file_ted_0019,notice:33-2025/organisation:ORG-0001
nbu_00020,not_0020,buy_0020,buyer,src_ted_opendata,file_ted_0020,notice:37-2025/organisation:ORG-0001
nbu_00021,not_0021,buy_0004,buyer,src_ted_opendata,file_ted_0021,notice:40-2025/organisation:ORG-0001
nbu_00022,not_0022,buy_0004,buyer,src_ted_opendata,file_ted_0022,notice:42-2025/organisation:ORG-0001
nbu_00023,not_0023,buy_0021,buyer,src_ted_opendata,file_ted_0023,notice:43-2025/organisation:ORG-0002
nbu_00024,not_0024,buy_0022,buyer,src_ted_opendata,file_ted_0024,notice:44-2025/organisation:ORG-0004
nbu_00025,not_0025,buy_0023,buyer,src_ted_opendata,file_ted_0025,notice:46-2025/organisation:ORG-0001
nbu_00026,not_0026,buy_0024,buyer,src_ted_opendata,file_ted_0026,notice:48-2025/organisation:ORG-0005
nbu_00027,not_0027,buy_0025,buyer,src_ted_opendata,file_ted_0027,notice:51-2025/organisation:ORG-0001
nbu_00028,not_0028,buy_0026,buyer,src_ted_opendata,file_ted_0028,notice:54-2025/organisation:ORG-0001
nbu_00029,not_0029,buy_0027,buyer,src_ted_opendata,file_ted_0029,notice:55-2025/organisation:ORG-0001
nbu_00030,not_0030,buy_0028,buyer,src_ted_opendata,file_ted_0030,notice:57-2025/organisation:ORG-0001
nbu_00031,not_0031,buy_0029,buyer,src_ted_opendata,file_ted_0031,notice:58-2025/organisation:ORG-0001
nbu_00032,not_0032,buy_0030,buyer,src_ted_opendata,file_ted_0032,notice:60-2025/organisation:ORG-0002
nbu_00033,not_0033,buy_0031,buyer,src_ted_opendata,file_ted_0033,notice:61-2025/organisation:ORG-0002
nbu_00034,not_0034,buy_0003,buyer,src_ted_opendata,file_ted_0034,notice:62-2025/organisation:ORG-0001
nbu_00035,not_0035,buy_0020,buyer,src_ted_opendata,file_ted_0035,notice:63-2025/organisation:ORG-0001
nbu_00036,not_0036,buy_0032,buyer,src_ted_opendata,file_ted_0036,notice:66-2025/organisation:ORG-0002
nbu_00037,not_0037,buy_0033,buyer,src_ted_opendata,file_ted_0037,notice:67-2025/organisation:ORG-0001
nbu_00038,not_0038,buy_0004,buyer,src_ted_opendata,file_ted_0038,notice:68-2025/organisation:ORG-0001
nbu_00039,not_0039,buy_0034,buyer,src_ted_opendata,file_ted_0039,notice:69-2025/organisation:ORG-0001
nbu_00040,not_0040,buy_0035,buyer,src_ted_opendata,file_ted_0040,notice:71-2025/organisation:ORG-0001
nbu_00041,not_0041,buy_0036,buyer,src_ted_opendata,file_ted_0041,notice:75-2025/organisation:ORG-0001
nbu_00042,not_0042,buy_0037,buyer,src_ted_opendata,file_ted_0042,notice:76-2025/organisation:ORG-0001
