award_id,source_award_id,notice_id,procedure_id,lot_id,award_date,award_status,award_value,currency_code,source_id,source_file_id,source_record_id,collected_at
awd_00001,RES-0001,not_0001,pro_0001,lot_00001,2024-12-31,selec-w,,,src_ted_opendata,file_ted_0001,lot_result:RES-0001,2026-08-19
awd_00002,RES-0002,not_0001,pro_0001,lot_00002,2024-12-31,selec-w,,,src_ted_opendata,file_ted_0001,lot_result:RES-0002,2026-08-19
awd_00003,RES-0003,not_0001,pro_0001,lot_00003,2024-12-31,selec-w,,,src_ted_opendata,file_ted_0001,lot_result:RES-0003,2026-08-19
awd_00004,RES-0004,not_0001,pro_0001,lot_00004,2024-12-31,selec-w,,,src_ted_opendata,file_ted_0001,lot_result:RES-0004,2026-08-19
awd_00005,RES-0005,not_0001,pro_0001,lot_00005,2024-12-31,selec-w,,,src_ted_opendata,file_ted_0001,lot_result:RES-0005,2026-08-19
awd_00006,RES-0001,not_0002,pro_0002,lot_00006,2000-01-01,selec-w,899130,PLN,src_ted_opendata,file_ted_0002,lot_result:RES-0001,2026-08-19
awd_00007,RES-0000,not_0003,pro_0003,lot_00007,2000-01-01,selec-w,40497.8600,EUR,src_ted_opendata,file_ted_0003,lot_result:RES-0000,2026-08-19
awd_00008,RES-0001,not_0004,pro_0004,lot_00008,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0004,lot_result:RES-0001,2026-08-19
awd_00009,RES-0001,not_0005,pro_0005,lot_00009,2000-01-01,selec-w,3545730,PLN,src_ted_opendata,file_ted_0005,lot_result:RES-0001,2026-08-19
awd_00010,RES-0001,not_0006,pro_0006,lot_00010,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0006,lot_result:RES-0001,2026-08-19
awd_00011,RES-0001,not_0007,pro_0007,lot_00011,2000-01-01,selec-w,3309693.48,PLN,src_ted_opendata,file_ted_0007,lot_result:RES-0001,2026-08-19
awd_00012,RES-0001,not_0008,pro_0008,lot_00012,2000-01-01,selec-w,3583334,EUR,src_ted_opendata,file_ted_0008,lot_result:RES-0001,2026-08-19
awd_00013,RES-0001,not_0009,pro_0009,lot_00013,2000-01-01,selec-w,2419500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0001,2026-08-19
awd_00014,RES-0010,not_0009,pro_0009,lot_00022,2000-01-01,selec-w,240000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0010,2026-08-19
awd_00015,RES-0008,not_0009,pro_0009,lot_00020,2000-01-01,selec-w,881000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0008,2026-08-19
awd_00016,RES-0003,not_0009,pro_0009,lot_00015,2000-01-01,selec-w,2344500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0003,2026-08-19
awd_00017,RES-0007,not_0009,pro_0009,lot_00019,2000-01-01,selec-w,864500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0007,2026-08-19
awd_00018,RES-0012,not_0009,pro_0009,lot_00024,2000-01-01,selec-w,3452800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0012,2026-08-19
awd_00019,RES-0014,not_0009,pro_0009,lot_00026,2000-01-01,selec-w,212000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0014,2026-08-19
awd_00020,RES-0013,not_0009,pro_0009,lot_00025,2000-01-01,selec-w,372000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0013,2026-08-19
awd_00021,RES-0009,not_0009,pro_0009,lot_00021,2000-01-01,selec-w,43500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0009,2026-08-19
awd_00022,RES-0002,not_0009,pro_0009,lot_00014,2000-01-01,selec-w,2080000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0002,2026-08-19
awd_00023,RES-0015,not_0009,pro_0009,lot_00027,2000-01-01,selec-w,3309000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0015,2026-08-19
awd_00024,RES-0011,not_0009,pro_0009,lot_00023,2000-01-01,selec-w,366000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0011,2026-08-19
awd_00025,RES-0004,not_0009,pro_0009,lot_00016,2000-01-01,selec-w,3071000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0004,2026-08-19
awd_00026,RES-0018,not_0009,pro_0009,lot_00030,2000-01-01,selec-w,768000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0018,2026-08-19
awd_00027,RES-0005,not_0009,pro_0009,lot_00017,2000-01-01,selec-w,639800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0005,2026-08-19
awd_00028,RES-0006,not_0009,pro_0009,lot_00018,2000-01-01,selec-w,1037000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0006,2026-08-19
awd_00029,RES-0017,not_0009,pro_0009,lot_00029,2000-01-01,selec-w,317800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0017,2026-08-19
