product_project_id,product_id,project_id,relationship_type,relationship_description,source_id,source_file_id,source_record_id
ppr_0001,prd_0001,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,1
ppr_0002,prd_0002,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,2
ppr_0003,prd_0003,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,3
ppr_0004,prd_0004,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,4
ppr_0005,prd_0005,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,5
ppr_0006,prd_0006,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,6
ppr_0007,prd_0007,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,7
ppr_0008,prd_0008,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,8
ppr_0009,prd_0009,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,9
ppr_0010,prd_0010,prj_0002,associated_with,,src_nist_supplychain,file_nist_001,10
ppr_0011,prd_0011,prj_0004,associated_with,,src_nist_supplychain,file_nist_004,1
ppr_0012,prd_0012,prj_0004,associated_with,,src_nist_supplychain,file_nist_004,2
ppr_0013,prd_0013,prj_0004,associated_with,,src_nist_supplychain,file_nist_004,3
ppr_0014,prd_0014,prj_0005,associated_with,,src_nist_supplychain,file_nist_004,4
ppr_0015,prd_0014,prj_0004,associated_with,,src_nist_supplychain,file_nist_004,4
ppr_0016,prd_0015,prj_0005,associated_with,,src_nist_supplychain,file_nist_004,5
ppr_0017,prd_0016,prj_0005,associated_with,,src_nist_supplychain,file_nist_004,6
ppr_0018,prd_0017,prj_0005,associated_with,,src_nist_supplychain,file_nist_004,7
ppr_0019,prd_0017,prj_0006,associated_with,,src_nist_supplychain,file_nist_004,7
ppr_0020,prd_0019,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,20-0002
ppr_0021,prd_0020,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,20-0003
ppr_0022,prd_0021,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,20-0004
ppr_0023,prd_0022,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,20-0005
ppr_0024,prd_0023,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,20-0015
ppr_0025,prd_0024,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,30-0085
ppr_0026,prd_0025,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0009
ppr_0027,prd_0026,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0011
ppr_0028,prd_0027,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0035
ppr_0029,prd_0028,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0038
ppr_0030,prd_0029,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0039
ppr_0031,prd_0030,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0041
ppr_0032,prd_0031,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0042
ppr_0033,prd_0032,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0043
ppr_0034,prd_0033,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0044
ppr_0035,prd_0034,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0045
ppr_0036,prd_0035,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0046
ppr_0037,prd_0036,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0047
ppr_0038,prd_0037,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0048
ppr_0039,prd_0038,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0049
ppr_0040,prd_0039,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0050
ppr_0041,prd_0040,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0051
ppr_0042,prd_0041,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0052
ppr_0043,prd_0042,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0053
ppr_0044,prd_0043,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0054
