project_id,source_project_id,project_name,project_description,project_status,country_code,country_name,source_id,source_file_id,source_record_id,collected_at
prj_0001,1,My Organization,,,,,src_nist_supplychain,file_nist_002,1,2026-08-19
prj_0002,2,Project Alpha,,,,,src_nist_supplychain,file_nist_002,2,2026-08-19
prj_0003,1,My Organization,,,,,src_nist_supplychain,file_nist_005,1,2026-08-19
prj_0004,2,Project Alpha,,,,,src_nist_supplychain,file_nist_005,2,2026-08-19
prj_0005,3,Project Beta,,,,,src_nist_supplychain,file_nist_005,3,2026-08-19
prj_0006,4,Project Gamma,,,,,src_nist_supplychain,file_nist_005,4,2026-08-19
prj_0007,5,Project Delta,,,,,src_nist_supplychain,file_nist_005,5,2026-08-19
prj_0008,1,Navit Inc.,,,,,src_nist_supplychain,file_nist_008,1,2026-08-19
prj_0009,2,GPS Model 3,,,,,src_nist_supplychain,file_nist_008,2,2026-08-19
prj_0010,3,GPS Model 5,,,,,src_nist_supplychain,file_nist_008,3,2026-08-19
prj_0011,1,"OpenLine, INC",,,,,src_nist_supplychain,file_nist_011,1,2026-08-19
prj_0012,2,Hospital Business Unit,,,,,src_nist_supplychain,file_nist_011,2,2026-08-19
prj_0013,3,Clinic Business Unit,,,,,src_nist_supplychain,file_nist_011,3,2026-08-19
prj_0014,4,Small Practice Business Unit,,,,,src_nist_supplychain,file_nist_011,4,2026-08-19
prj_0015,5,Pharmacy Business Unit,,,,,src_nist_supplychain,file_nist_011,5,2026-08-19
prj_0016,1,State,,,,,src_nist_supplychain,file_nist_014,1,2026-08-19
prj_0017,2,Administration,,,,,src_nist_supplychain,file_nist_014,2,2026-08-19
prj_0018,3,Investigation,,,,,src_nist_supplychain,file_nist_014,3,2026-08-19
prj_0019,4,Attorney General,,,,,src_nist_supplychain,file_nist_014,4,2026-08-19
prj_wb_p180171,P180171,Regional Climate Resilience Program for Eastern and Southern Africa 1 Project (RCRP1),,contract_award_recorded,,Eastern and Southern Africa,src_worldbank_finances1,file_worldbank_ds00005_001,76728,2026-08-19
prj_wb_p166539,P166539,Ghana Economic Transformation Project,Industry & Trade/Ser,contract_award_recorded,GHA,Ghana,src_worldbank_finances1,file_worldbank_ds00005_001,77714,2026-08-19
prj_wb_p168481,P168481,"Georgia I2Q - Innovation, Inclusion and Quality",Education,contract_award_recorded,GEO,Georgia,src_worldbank_finances1,file_worldbank_ds00005_001,76328,2026-08-19
prj_wb_p161996,P161996,Sustainable Forests & Livelihoods (SUFAL) Project,Agriculture;Info & Communication;Social Protection,contract_award_recorded,BGD,Bangladesh,src_worldbank_finances1,file_worldbank_ds00005_001,77712,2026-08-19
prj_wb_p161928,P161928,Operation for Supporting Rural Bridges (SupRB),Info & Communication;Transportation,contract_award_recorded,BGD,Bangladesh,src_worldbank_finances1,file_worldbank_ds00005_001,77320,2026-08-19
prj_wb_p144271,P144271,Forest Conservation and Sustainability in the Heart of the Colombian Amazon,Agriculture;Public Admin,contract_award_recorded,COL,Colombia,src_worldbank_finances1,file_worldbank_ds00005_001,75155,2026-08-19
prj_wb_p170035,P170035,"Agriculture Governance, Growth and Resilience Investment Project",Agriculture;Industry & Trade/Ser,contract_award_recorded,MDA,Moldova,src_worldbank_finances1,file_worldbank_ds00005_001,77307,2026-08-19
prj_wb_p167790,P167790,Higher Education Project,Info & Communication;Education,contract_award_recorded,MDA,Moldova,src_worldbank_finances1,file_worldbank_ds00005_001,77049,2026-08-19
prj_wb_p162594,P162594,Multipurpose Cadaster Project,Agriculture;Public Admin;Info & Communication,contract_award_recorded,COL,Colombia,src_worldbank_finances1,file_worldbank_ds00005_001,76462,2026-08-19
prj_wb_p173834,P173834,Papua New Guinea COVID-19 Emergency Response Project,Health,contract_award_recorded,PNG,Papua New Guinea,src_worldbank_finances1,file_worldbank_ds00005_001,75634,2026-08-19
prj_wb_p163353,P163353,Nigeria Rural Access and Agricultural Marketing Project,Transportation;Industry & Trade/Ser,contract_award_recorded,NGA,Nigeria,src_worldbank_finances1,file_worldbank_ds00005_001,77174,2026-08-19
prj_wb_p154112,P154112,Sustainable Rural Sanitation Services Program for Results,Public Admin;Health;Water/Sanit/Waste,contract_award_recorded,EGY,"Egypt, Arab Republic of",src_worldbank_finances1,file_worldbank_ds00005_001,77711,2026-08-19
prj_wb_p166936,P166936,Lesotho Renewable Energy & Energy Access Project,Energy & Extractives,contract_award_recorded,LSO,Lesotho,src_worldbank_finances1,file_worldbank_ds00005_001,77710,2026-08-19
prj_wb_p160674,P160674,Social Protection Enhancement Project,Social Protection,contract_award_recorded,PSE,West Bank and Gaza,src_worldbank_finances1,file_worldbank_ds00005_001,76470,2026-08-19
prj_wb_p160865,P160865,Livestock Productivity and Resilience Support Project,Agriculture;Social Protection;Industry & Trade/Ser,contract_award_recorded,NGA,Nigeria,src_worldbank_finances1,file_worldbank_ds00005_001,75870,2026-08-19
prj_wb_p166802,P166802,Mozambique Conservation Areas for Biodiversity and Development - Phase 2,Agriculture;Industry & Trade/Ser,contract_award_recorded,MOZ,Mozambique,src_worldbank_finances1,file_worldbank_ds00005_001,75867,2026-08-19
prj_wb_p176965,P176965,FSM Skills and Employability Enhancement Project,Education;Social Protection,contract_award_recorded,FSM,"Micronesia, Federated States of",src_worldbank_finances1,file_worldbank_ds00005_001,76346,2026-08-19
prj_wb_p163711,P163711,Tax Administration and Statistical System Modernization Project,Public Admin;Info & Communication,contract_award_recorded,KGZ,Kyrgyz Republic,src_worldbank_finances1,file_worldbank_ds00005_001,76345,2026-08-19
prj_wb_p169168,P169168,Early Childhood Development to Build Tajikistan’s Human Capital Project,Education;Health;Social Protection,contract_award_recorded,TJK,Tajikistan,src_worldbank_finances1,file_worldbank_ds00005_001,77647,2026-08-19
prj_wb_p170466,P170466,Uganda Investing in Forests and Protected Areas for Climate-Smart Development Project,Agriculture;Industry & Trade/Ser,contract_award_recorded,UGA,Uganda,src_worldbank_finances1,file_worldbank_ds00005_001,75740,2026-08-19
prj_wb_p176088,P176088,Southeast Asia Regional Economic Corridor and Connectivity Project,Transportation;Industry & Trade/Ser,contract_award_recorded,LAO,Lao People's Democratic Republic,src_worldbank_finances1,file_worldbank_ds00005_001,77649,2026-08-19
prj_wb_p167512,P167512,Strengthening Primary Health Care and Surveillance in Haiti,Health,contract_award_recorded,HTI,Haiti,src_worldbank_finances1,file_worldbank_ds00005_001,76727,2026-08-19
prj_wb_p169718,P169718,Liberia Urban Resilience Project,,contract_award_recorded,LBR,Liberia,src_worldbank_finances1,file_worldbank_ds00005_001,76344,2026-08-19
prj_wb_p169265,P169265,Harmonizing and Improving Statistics in West Africa,Public Admin;Info & Communication,contract_award_recorded,,Western and Central Africa,src_worldbank_finances1,file_worldbank_ds00005_001,76065,2026-08-19
prj_wb_p178694,P178694,Fiji Tourism Development Program in Vanua Levu,Industry & Trade/Ser,contract_award_recorded,,Fiji,src_worldbank_finances1,file_worldbank_ds00005_001,76343,2026-08-19
prj_wb_p180220,P180220,Solomon Islands Community Benefits Sharing Project -- Phase 2,,contract_award_recorded,SLB,Solomon Islands,src_worldbank_finances1,file_worldbank_ds00005_001,76920,2026-08-19
