supplier_product_id,supplier_id,product_id,relationship_type,relationship_description,source_id,source_file_id,source_record_id
spr_0001,sup_0001,prd_0001,supplies,,src_nist_supplychain,file_nist_001,1
spr_0002,sup_0001,prd_0002,supplies,,src_nist_supplychain,file_nist_001,2
spr_0003,sup_0002,prd_0003,supplies,,src_nist_supplychain,file_nist_001,3
spr_0004,sup_0002,prd_0004,supplies,,src_nist_supplychain,file_nist_001,4
spr_0005,sup_0003,prd_0005,supplies,,src_nist_supplychain,file_nist_001,5
spr_0006,sup_0003,prd_0006,supplies,,src_nist_supplychain,file_nist_001,6
spr_0007,sup_0004,prd_0007,supplies,,src_nist_supplychain,file_nist_001,7
spr_0008,sup_0004,prd_0008,supplies,,src_nist_supplychain,file_nist_001,8
spr_0009,sup_0005,prd_0009,supplies,,src_nist_supplychain,file_nist_001,9
spr_0010,sup_0005,prd_0010,supplies,,src_nist_supplychain,file_nist_001,10
spr_0011,sup_0006,prd_0011,supplies,,src_nist_supplychain,file_nist_004,1
spr_0012,sup_0007,prd_0012,supplies,,src_nist_supplychain,file_nist_004,2
spr_0013,sup_0007,prd_0013,supplies,,src_nist_supplychain,file_nist_004,3
spr_0014,sup_0008,prd_0014,supplies,,src_nist_supplychain,file_nist_004,4
spr_0015,sup_0010,prd_0015,supplies,,src_nist_supplychain,file_nist_004,5
spr_0016,sup_0009,prd_0015,supplies,,src_nist_supplychain,file_nist_004,5
spr_0017,sup_0011,prd_0016,supplies,,src_nist_supplychain,file_nist_004,6
spr_0018,sup_0012,prd_0017,supplies,,src_nist_supplychain,file_nist_004,7
spr_0019,sup_0011,prd_0017,supplies,,src_nist_supplychain,file_nist_004,7
spr_0020,sup_0014,prd_0019,vendor_of_component,,src_nist_supplychain,file_nist_007,20-0002
spr_0021,sup_0032,prd_0019,vendor_of_component,,src_nist_supplychain,file_nist_007,20-0002
spr_0022,sup_0014,prd_0023,vendor_of_component,,src_nist_supplychain,file_nist_007,20-0015
spr_0023,sup_0033,prd_0023,vendor_of_component,,src_nist_supplychain,file_nist_007,20-0015
spr_0024,sup_0015,prd_0024,vendor_of_component,,src_nist_supplychain,file_nist_007,30-0085
spr_0025,sup_0034,prd_0025,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0009
spr_0026,sup_0016,prd_0025,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0009
spr_0027,sup_0017,prd_0026,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0011
spr_0028,sup_0018,prd_0027,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0035
spr_0029,sup_0035,prd_0027,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0035
spr_0030,sup_0019,prd_0028,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0038
spr_0031,sup_0020,prd_0028,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0038
spr_0032,sup_0019,prd_0029,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0039
spr_0033,sup_0036,prd_0030,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0041
spr_0034,sup_0020,prd_0030,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0041
spr_0035,sup_0019,prd_0031,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0042
spr_0036,sup_0020,prd_0031,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0042
