supplier_project_id,supplier_id,project_id,relationship_type,relationship_description,source_id,source_file_id,source_record_id
sp_wb_77715,sup_wb_808065,prj_wb_p180171,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77715
sp_wb_77714,sup_wb_775428,prj_wb_p166539,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77714
sp_wb_77713,sup_wb_104460,prj_wb_p168481,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77713
sp_wb_77712,sup_wb_870229,prj_wb_p161996,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77712
sp_wb_77320,sup_wb_4a7288a5294a8a42,prj_wb_p161928,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77320
sp_wb_76736,sup_wb_860193,prj_wb_p144271,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76736
sp_wb_77319,sup_wb_597c6820544f90eb,prj_wb_p144271,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77319
sp_wb_76735,sup_wb_859159,prj_wb_p144271,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76735
sp_wb_76734,sup_wb_850841,prj_wb_p144271,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76734
sp_wb_76733,sup_wb_859159,prj_wb_p144271,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76733
sp_wb_77191,sup_wb_7bafa91fcfc844d9,prj_wb_p170035,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77191
sp_wb_76732,sup_wb_501243,prj_wb_p170035,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76732
sp_wb_76731,sup_wb_019d3d38babbd480,prj_wb_p167790,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76731
sp_wb_77190,sup_wb_5a003169efcd9cd8,prj_wb_p162594,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77190
sp_wb_77059,sup_wb_061be76effb02d19,prj_wb_p173834,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77059
sp_wb_77318,sup_wb_032a4463844be728,prj_wb_p162594,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77318
sp_wb_77189,sup_wb_866915,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77189
sp_wb_77711,sup_wb_655751,prj_wb_p154112,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77711
sp_wb_77188,sup_wb_813131,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77188
sp_wb_77710,sup_wb_704091,prj_wb_p166936,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77710
sp_wb_77709,sup_wb_f31b4993221d0391,prj_wb_p160674,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77709
sp_wb_77708,sup_wb_051fd2ff3de0f400,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77708
sp_wb_76730,sup_wb_842933,prj_wb_p167790,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76730
sp_wb_76729,sup_wb_021a1c3d43393cbd,prj_wb_p167790,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76729
sp_wb_77058,sup_wb_871884,prj_wb_p167790,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77058
sp_wb_77707,sup_wb_921143,prj_wb_p160865,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77707
sp_wb_76479,sup_wb_870575,prj_wb_p166802,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76479
sp_wb_77317,sup_wb_758338,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77317
sp_wb_77187,sup_wb_821238,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77187
sp_wb_77186,sup_wb_841951,prj_wb_p163353,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,77186
sp_wb_76478,sup_wb_847310,prj_wb_p176965,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76478
sp_wb_76477,sup_wb_699056,prj_wb_p176965,contract_supplier_for_project,Observed in World Bank DS00005 contract award record,src_worldbank_finances1,file_worldbank_ds00005_001,76477
