supplier_id,source_supplier_id,supplier_name,normalized_name,country_code,country_name,supplier_type,supplier_status,source_id,source_file_id,source_record_id,collected_at
sup_0001,1,Supplier 1,supplier 1,,,,,src_nist_supplychain,file_nist_003,1,2026-08-19
sup_0002,2,Supplier 2,supplier 2,,,,,src_nist_supplychain,file_nist_003,2,2026-08-19
sup_0003,3,Supplier 3,supplier 3,,,,,src_nist_supplychain,file_nist_003,3,2026-08-19
sup_0004,4,Supplier 4,supplier 4,,,,,src_nist_supplychain,file_nist_003,4,2026-08-19
sup_0005,5,Supplier 5,supplier 5,,,,,src_nist_supplychain,file_nist_003,5,2026-08-19
sup_0006,1,Supplier 1,supplier 1,,,,,src_nist_supplychain,file_nist_006,1,2026-08-19
sup_0007,2,Supplier 2,supplier 2,,,,,src_nist_supplychain,file_nist_006,2,2026-08-19
sup_0008,3,Supplier 3,supplier 3,,,,,src_nist_supplychain,file_nist_006,3,2026-08-19
sup_0009,4,Supplier 4,supplier 4,,,,,src_nist_supplychain,file_nist_006,4,2026-08-19
sup_0010,5,Supplier 5,supplier 5,,,,,src_nist_supplychain,file_nist_006,5,2026-08-19
sup_0011,6,Supplier 6,supplier 6,,,,,src_nist_supplychain,file_nist_006,6,2026-08-19
sup_0012,7,Supplier 7,supplier 7,,,,,src_nist_supplychain,file_nist_006,7,2026-08-19
sup_0013,8,Supplier 8,supplier 8,,,,,src_nist_supplychain,file_nist_006,8,2026-08-19
sup_0014,Ante Corp.,Ante Corp.,ante corp.,,,,,src_nist_supplychain,file_nist_009,Ante Corp.,2026-08-19
sup_0015,Arcu Packaging,Arcu Packaging,arcu packaging,,,,,src_nist_supplychain,file_nist_009,Arcu Packaging,2026-08-19
sup_0016,At Auctor Co,At Auctor Co,at auctor co,,,,,src_nist_supplychain,file_nist_009,At Auctor Co,2026-08-19
sup_0017,Cubilia Electronics,Cubilia Electronics,cubilia electronics,,,,,src_nist_supplychain,file_nist_009,Cubilia Electronics,2026-08-19
sup_0018,Egestas Engineering,Egestas Engineering,egestas engineering,,,,,src_nist_supplychain,file_nist_009,Egestas Engineering,2026-08-19
sup_0019,EGETEM,EGETEM,egetem,,,,,src_nist_supplychain,file_nist_009,EGETEM,2026-08-19
sup_0020,Eleifend,Eleifend,eleifend,,,,,src_nist_supplychain,file_nist_009,Eleifend,2026-08-19
sup_0021,Non Enim Electronics,Non Enim Electronics,non enim electronics,,,,,src_nist_supplychain,file_nist_009,Non Enim Electronics,2026-08-19
sup_0022,Est Electronics Corp.,Est Electronics Corp.,est electronics corp.,,,,,src_nist_supplychain,file_nist_009,Est Electronics Corp.,2026-08-19
sup_0023,Eu Sem Electronics,Eu Sem Electronics,eu sem electronics,,,,,src_nist_supplychain,file_nist_009,Eu Sem Electronics,2026-08-19
sup_0024,Tempor Milling,Tempor Milling,tempor milling,,,,,src_nist_supplychain,file_nist_009,Tempor Milling,2026-08-19
sup_0025,Fringilla Electronics,Fringilla Electronics,fringilla electronics,,,,,src_nist_supplychain,file_nist_009,Fringilla Electronics,2026-08-19
sup_0026,Hendrerit Electronics,Hendrerit Electronics,hendrerit electronics,,,,,src_nist_supplychain,file_nist_009,Hendrerit Electronics,2026-08-19
sup_0027,Imperdiet Electronics,Imperdiet Electronics,imperdiet electronics,,,,,src_nist_supplychain,file_nist_009,Imperdiet Electronics,2026-08-19
sup_0028,Justo Inc.,Justo Inc.,justo inc.,,,,,src_nist_supplychain,file_nist_009,Justo Inc.,2026-08-19
sup_0029,Laoreet,Laoreet,laoreet,,,,,src_nist_supplychain,file_nist_009,Laoreet,2026-08-19
sup_0030,Lectus Labeling,Lectus Labeling,lectus labeling,,,,,src_nist_supplychain,file_nist_009,Lectus Labeling,2026-08-19
sup_0031,Aenean Printing,Aenean Printing,aenean printing,,,,,src_nist_supplychain,file_nist_009,Aenean Printing,2026-08-19
sup_0032,Elementum SCI,Elementum SCI,elementum sci,,,,,src_nist_supplychain,file_nist_009,Elementum SCI,2026-08-19
sup_0033,Luctus Aliquet,Luctus Aliquet,luctus aliquet,,,,,src_nist_supplychain,file_nist_009,Luctus Aliquet,2026-08-19
sup_0034,Malesuada Limited,Malesuada Limited,malesuada limited,,,,,src_nist_supplychain,file_nist_009,Malesuada Limited,2026-08-19
sup_0035,Mauris Quis Circuits,Mauris Quis Circuits,mauris quis circuits,,,,,src_nist_supplychain,file_nist_009,Mauris Quis Circuits,2026-08-19
sup_0036,Nam LLC,Nam LLC,nam llc,,,,,src_nist_supplychain,file_nist_009,Nam LLC,2026-08-19
sup_0037,Microchips Corp.,Microchips Corp.,microchips corp.,,,,,src_nist_supplychain,file_nist_009,Microchips Corp.,2026-08-19
sup_0038,Access Limited,Access Limited,access limited,,,,,src_nist_supplychain,file_nist_009,Access Limited,2026-08-19
sup_0039,Nunc Ltd,Nunc Ltd,nunc ltd,,,,,src_nist_supplychain,file_nist_009,Nunc Ltd,2026-08-19
